,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
61,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
62,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
63,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
64,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
65,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
66,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
67,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
68,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
69,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
70,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
71,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
72,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
73,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
